n,method,depth,p_succ,energy,approx_ratio,feas_ratio,feas_approx_ratio,p_opt,p_999,p_99,p_9,rnd_approx_ratio,min_val,rnd_val,max_val
6,linear,1,0.043181752349503305,-228.9292723780191,0.39883148497912735,0.4348822573023059,0.917102223146993,0.043181752349503305,0.043181752349503305,0.08638469046288327,0.3383616669643289,0.293476019969071,-574.0,-85.59375,0.0
6,direct,2,0.040000198535581136,-218.56936983181535,0.38078287427145524,0.4165809207000977,0.9140670043926136,0.040000198535581136,0.040000198535581136,0.08028691552687223,0.32070635259016306,0.2722643697369052,-574.0,-85.59375,0.0
6,linear,2,0.0489955924312906,-255.9304279516769,0.44587182569978556,0.4786587856048929,0.9315024378719516,0.0489955924312906,0.0489955924312906,0.0979089352559088,0.3797799567056838,0.34876023382517507,-574.0,-85.59375,0.0
6,direct,3,0.05443457847058828,-273.0729381332311,0.4757368260160821,0.5112360208200386,0.9305620234915867,0.05443457847058828,0.05443457847058828,0.1088512729285595,0.4083767396025094,0.3838591093648599,-574.0,-85.59375,0.0
6,linear,3,0.06439264587940545,-329.54633260506495,0.5741225306708448,0.6096288285532392,0.9417575150331108,0.06439264587940545,0.06439264587940545,0.12865968769331426,0.49147475821169484,0.49948702049792554,-574.0,-85.59375,0.0
6,direct,4,0.073901906070491,-350.4503969050455,0.610540761158616,0.6432337055434189,0.949174080737602,0.073901906070491,0.073901906070491,0.147651539852456,0.5320881903955051,0.5422875872392,-574.0,-85.59375,0.0
6,linear,4,0.07646277186350389,-365.29366974098906,0.6364001214999808,0.6805419127669907,0.9351372921506989,0.07646277186350389,0.07646277186350389,0.15312601725971317,0.5545407935408979,0.5726788298491042,-574.0,-85.59375,0.0
6,direct,5,0.08330610936782419,-385.31758630709385,0.6712849935663655,0.7039577696887127,0.9535870225044963,0.08330610936782419,0.08330610936782419,0.1666208405704357,0.5892520080671116,0.613677315364195,-574.0,-85.59375,0.0
6,linear,5,0.09193471437089827,-422.9970985436026,0.7369287431073216,0.7727748100996629,0.9536138257564085,0.09193471437089827,0.09193471437089827,0.18382766946690043,0.6477799339947186,0.6908252065644176,-574.0,-85.59375,0.0
6,direct,6,0.091359610511002,-401.48161471017056,0.6994453217947223,0.7342656876527351,0.9525779749162392,0.091359610511002,0.091359610511002,0.18256124670097829,0.6210257961430066,0.6467727730965166,-574.0,-85.59375,0.0
