,size,pid,penalty,pen,energy,approx_ratio,feas_ratio,feas_approx_ratio,p_opt,p_999,p_99,p_9,rnd_approx_ratio,min_val,rnd_val,max_val
563,10,25,max,94.0,-150.68072986188898,0.403969738090989,0.9187298113994695,0.43970461508768915,0.0038563990309325876,0.0038563990309325876,0.0038563990309325876,0.010530530226327214,0.36963185907797486,-373.0,-20.318359375,0.0
564,10,26,auto,0.06999999999300001,-103.18527169681886,0.579591882261924,0.7391065303400298,0.7841790844349322,0.032910225230030045,0.032910225230030045,0.032910225230030045,0.126767660698875,0.2223253838876737,-178.0,-81.796875,0.0
565,10,26,max,31.0,-90.29121611819839,0.5072842259404668,0.9797761086341237,0.5177552519091903,0.0016853843469591143,0.0016853843469591143,0.0016853843469591143,0.007866799349884056,0.0882958959825722,-178.0,-81.796875,0.0
566,10,27,auto,0.20833333331886572,-128.6751664348328,0.5668459097525148,0.7777645857325364,0.7288142455324471,0.05129173920964815,0.05129173920964815,0.05129173920964815,0.09375509455549223,0.5352831209983882,-227.0,-15.419921875,0.0
567,10,27,max,60.0,-94.2604482997446,0.4152461711067622,0.918600424974199,0.4520422153281992,0.003655389106090901,0.003655389106090901,0.003655389106090901,0.007745097189441849,0.3726273622895922,-227.0,-15.419921875,0.0
568,10,28,auto,3.749999990625,-80.70586621597745,0.4921004643581493,0.9341644398769738,0.5267814137979361,0.00101773206763722,0.00101773206763722,0.00101773206763722,0.01666471692767947,0.3104890583355099,-164.0,-43.1982421875,0.0
569,10,28,max,33.0,-79.94590237760572,0.48748040512472296,0.9258882937743691,0.5265002359383082,0.0009480074808805,0.0009480074808805,0.0009480074808805,0.01585451794685245,0.3041980585012915,-164.0,-43.1982421875,0.0
570,10,29,auto,5.999999940000001,-108.49001045366994,0.5424500511530254,0.9591206323735564,0.5655702034170744,0.0011892476694658782,0.0011892476694658782,0.0011892476694658782,0.04657885807010788,0.3977864867936866,-200.0,-48.0439453125,0.0
571,10,29,max,55.0,-115.88490279697551,0.5793940258005273,0.9372880590437916,0.6181600418462785,0.001530328213828459,0.001530328213828459,0.001530328213828459,0.07317645113762433,0.4464511639499426,-200.0,-48.0439453125,0.0
572,10,30,auto,0.023356401383881002,-82.1466708960878,0.5134560967969605,0.5801417027578318,0.8850529006208887,0.13764643324578502,0.13764643324578502,0.26956207024444345,0.37120502236186653,0.45879399743112137,-160.0,-16.1484375,0.0
573,10,30,max,42.0,-66.82035416531001,0.41761638667844064,0.9074568137389301,0.4602052465260197,0.0029024189142431035,0.0029024189142431035,0.005968659635889759,0.011935170474058373,0.35225141656219416,-160.0,-16.1484375,0.0
574,10,31,auto,13.999999860000003,-75.60938992066859,0.35497408646774914,0.9082840703789029,0.39081835523072306,0.004672418827261342,0.004672418827261342,0.004672418827261342,0.004672418827261342,0.3289931905295761,-213.0,-8.2470703125,0.0
575,10,31,max,64.0,-74.79060965304502,0.3511309642636325,0.9023452391130921,0.3891315086992162,0.004427634491425355,0.004427634491425355,0.004427634491425355,0.004427634491425355,0.32499432092183367,-213.0,-8.2470703125,0.0
576,10,32,auto,0.15624999997558595,-103.01206020259926,0.4769068553441321,0.7425972183988757,0.6422147074189123,0.03681987363071686,0.03681987363071686,0.03681987363071686,0.09312435371580965,0.424700413935825,-216.0,-19.6015625,0.0
577,10,32,max,62.0,-113.82006673414776,0.5269480645902854,0.9073175359661771,0.5807757964571391,0.01895846100818463,0.01895846100818463,0.01895846100818463,0.036352740074969955,0.4797314349007881,-216.0,-19.6015625,0.0
578,10,33,auto,1.749999995625,-44.23537606074079,0.497011422754246,0.9147548504011127,0.5433274527446457,0.001104485356794359,0.001104485356794359,0.001104485356794359,0.012695895541844577,0.348498771815952,-89.0,-20.2900390625,0.0
579,10,33,max,28.0,-43.993160048471964,0.49429064664618205,0.9122246641642255,0.5418518771349468,0.00104737037643122,0.00104737037643122,0.00104737037643122,0.012275307185468598,0.3449735767938045,-89.0,-20.2900390625,0.0
580,10,34,auto,0.07653061224099333,-108.1674870910762,0.756236778036079,0.8835354364773025,0.8559212758361235,0.2097394176376932,0.2097394176376932,0.2097394176376932,0.28568726573031294,0.6860941562050025,-143.0,-32.03515625,0.0
581,10,34,max,37.0,-67.2994220002939,0.4705720997704809,0.9553912542271088,0.49254386377145953,0.0017884527495043061,0.0017884527495043061,0.0017884527495043061,0.004063562979729585,0.31779674136921315,-143.0,-32.03515625,0.0
582,10,35,auto,0.374999999765625,-120.78070809984888,0.7843114991063365,0.9107537186536325,0.8611674957152899,0.1791538772028072,0.1791538772028072,0.1791538772028072,0.32114473028026724,0.5915644485110795,-154.0,-72.6669921875,0.0
583,10,35,max,28.0,-81.87204474532618,0.5316532519734667,0.9824248235008913,0.5411643102409701,0.0007038618253329352,0.0007038618253329352,0.0007038618253329352,0.005210434799606336,0.11317732868120317,-154.0,-72.6669921875,0.0
584,10,36,auto,0.209999999979,-154.84913671968025,0.7201856549744707,0.829358905539912,0.8683642873595605,0.24340354247503598,0.24340354247503598,0.2933345241022759,0.4165203373572128,0.6262311870100827,-215.0,-54.0693359375,0.0
585,10,36,max,42.0,-103.93428860019324,0.4833990066632875,0.9201740342744102,0.525334326614057,0.002366949388063755,0.002366949388063755,0.0033516929278898013,0.011654875367700967,0.3098536438234505,-215.0,-54.0693359375,0.0
586,10,37,auto,0.119999999952,-88.06703134845534,0.7933825169533703,0.9358521281086599,0.8477648264334045,0.05962779441218894,0.05962779441218894,0.05962779441218894,0.3366227104689935,0.6585728424079423,-111.0,-43.83203125,0.0
587,10,37,max,23.0,-62.29125491018728,0.5611444757323694,0.9625833183114935,0.5829567841635732,0.00048430198792758243,0.00048430198792758243,0.00048430198792758243,0.008915734589032196,0.27482182361197693,-111.0,-43.83203125,0.0
588,10,38,auto,0.1836734693502707,-101.35935000047753,0.8894209720309908,0.963562362891749,0.923054911943372,0.09451441300019064,0.09451441300019064,0.2512057911710179,0.7184355787089263,0.7791611826811287,-114.0,-56.7607421875,0.0
589,10,38,max,19.0,-89.7371901467022,0.7872057890206525,0.9357796047033826,0.8412299061274967,0.045629337741634746,0.045629337741634746,0.1065070860394856,0.356545383472022,0.5761159249692569,-114.0,-56.7607421875,0.0
590,10,39,auto,0.089999999991,-164.84522568763956,0.7813380293379781,0.9258221198830426,0.8439396862074143,0.053131993497539394,0.053131993497539394,0.16452296341869874,0.28274643867254673,0.6059456148887593,-211.0,-93.8720703125,0.0
591,10,39,max,39.0,-116.0797519186475,0.5501091561183766,0.970043016961453,0.5670976920606362,0.00038402595130631993,0.00038402595130631993,0.0009847388094126538,0.00797435856359292,0.1896019306872247,-211.0,-93.8720703125,0.0
592,10,40,auto,9.999999975,-89.0388547619255,0.4260237872636981,0.9154439749506974,0.465373959434975,0.004647856169219537,0.004647856169219537,0.004647856169219537,0.027657771728811453,0.3986527341877945,-209.0,-9.5126953125,0.0
593,10,40,max,61.0,-88.20151749818449,0.42201737023952185,0.9124638359271874,0.46250311916273895,0.004517292049874226,0.004517292049874226,0.004517292049874226,0.026708101346454093,0.394455287813687,-209.0,-9.5126953125,0.0
594,10,41,auto,0.039999999996,-121.62383710074121,0.7897676276827249,0.9567707742018025,0.8254512459806248,0.0023269051332116797,0.0023269051332116797,0.0023269051332116797,0.09587943613371602,0.5841921586208674,-154.0,-76.13671875,0.0
595,10,41,max,27.0,-82.15941590370412,0.5334865139844155,0.9917771139681858,0.5379096840114509,0.0008284739207647716,0.0008284739207647716,0.0008284739207647716,0.008620685239302423,0.07734964487775314,-154.0,-76.13671875,0.0
596,10,42,auto,0.3888888887808642,-98.19940550599307,0.8182766945664058,0.926031785606821,0.8836378051863477,0.12635362341188652,0.12635362341188652,0.12635362341188652,0.49847523383277487,0.6417644142457299,-120.0,-59.14453125,0.0
597,10,42,max,19.0,-72.48264265692644,0.6040304233044905,0.9863984702910711,0.6123594485363003,0.002455048693383992,0.002455048693383992,0.002455048693383992,0.027238931067270246,0.21917687400816288,-120.0,-59.14453125,0.0
598,10,43,auto,1.749999995625,-88.85559923109082,0.5769805466775957,0.8246833388560696,0.6996389031915377,0.018438352523510778,0.018438352523510778,0.036234014199446635,0.11667551103887094,0.5310552025127204,-154.0,-15.0830078125,0.0
599,10,43,max,52.0,-66.87919150179661,0.4342843220712298,0.9059234118690999,0.47938304318155883,0.0028185588475106976,0.0028185588475106976,0.005112260369020433,0.015295950042239178,0.37285707726370804,-154.0,-15.0830078125,0.0
600,10,44,auto,2.49999999375,-104.56578045377523,0.7211768474835213,0.927732468896297,0.7773543253708578,0.013851682946111402,0.013851682946111402,0.013851682946111402,0.13730291991540297,0.46499411022813814,-145.0,-69.4228515625,0.0
601,10,44,max,24.0,-96.48234536044258,0.6653660563660792,0.946864424538843,0.7027046735757723,0.002279680340231747,0.002279680340231747,0.002279680340231747,0.043321714357351715,0.35803803606482926,-145.0,-69.4228515625,0.0
602,10,45,auto,0.3333333329629629,-117.16165785740627,0.7863562825207512,0.9161264332608987,0.8583490814927823,0.03356414140382328,0.03356414140382328,0.06293011258617084,0.255710146441671,0.5966689055952893,-149.0,-70.0615234375,0.0
603,10,45,max,33.0,-76.89608425770633,0.5160741114459444,0.984467149438026,0.5242166909688561,0.0008143961184040463,0.0008143961184040463,0.0016291217915268942,0.013954726703351364,0.08658085534238846,-149.0,-70.0615234375,0.0
604,10,46,auto,0.3124999998046875,-68.95808061432236,0.7662607517784825,0.9176052830325737,0.8350657586081938,0.04498083193824683,0.04498083193824683,0.04498083193824683,0.3321822255307432,0.5435166846545929,-90.0,-43.904296875,0.0
605,10,46,max,16.0,-53.97468991525519,0.5997356532047556,0.9776390877668254,0.6134530223977678,0.0008843412738135586,0.0008843412738135586,0.0008843412738135586,0.019167905432850577,0.21846706650610812,-90.0,-43.904296875,0.0
606,10,47,auto,10.999999890000002,-81.32577537966922,0.45687755974627703,0.9227391400458276,0.49513187413247295,0.0008098941560775345,0.0008098941560775345,0.0008098941560775345,0.007094279826481683,0.2826388352641436,-178.0,-43.236328125,0.0
607,10,47,max,44.0,-81.12722089775384,0.4557595918420787,0.9209427152172025,0.4948837580354699,0.0008008499493402381,0.0008008499493402381,0.0008008499493402381,0.0070383141614364115,0.28116548210336334,-178.0,-43.236328125,0.0
608,10,48,auto,0.04132231404617171,-41.69706046438988,0.5350109840587846,0.8048422834787999,0.6647401547372568,0.005765750159249923,0.005765750159249923,0.005765750159249923,0.03441274343943906,0.14544010288350234,-78.0,-35.5185546875,0.0
609,10,48,max,18.0,-46.310609358418965,0.5937049761508522,0.9664165925999593,0.614336488732672,0.001907382476204468,0.001907382476204468,0.001907382476204468,0.01514585198116716,0.25404160784857865,-78.0,-35.5185546875,0.0
610,10,49,auto,0.374999999765625,-94.77945519268528,0.7897086745238188,0.9123181429283533,0.8656066753084802,0.09906249256533747,0.09906249256533747,0.09906249256533747,0.42468736551684333,0.6292800028323053,-120.0,-51.96875,0.0
611,10,49,max,25.0,-61.69843251763171,0.5141339959173097,0.9860827811369594,0.5213902988190404,0.00029848770156503274,0.00029848770156503274,0.00029848770156503274,0.0055469127203992535,0.14301784132485745,-120.0,-51.96875,0.0
612,10,50,auto,8.999999910000001,-118.66389278417249,0.39033881218565286,0.9058225284753868,0.43092195205460626,0.003667645604988435,0.003667645604988435,0.003667645604988435,0.012838175919031152,0.3388439820762052,-304.0,-23.6787109375,0.0
613,10,50,max,83.0,-115.9107890143526,0.38128360920931703,0.9077271777598376,0.42004207712528724,0.0031292700143304283,0.0031292700143304283,0.0031292700143304283,0.010942816066517024,0.3290227381063758,-304.0,-23.6787109375,0.0
614,10,51,auto,1.444444442839506,-113.571355976302,0.7942680900650246,0.9420823996355886,0.8430983217309433,0.011924250631628488,0.011924250631628488,0.05349966149086159,0.2827952529428855,0.548079969403036,-143.0,-77.880859375,0.0
615,10,51,max,27.0,-83.97835788188786,0.5872517110346003,0.9900802126327143,0.5931354889651254,0.000807082779404697,0.000807082779404697,0.0033740184718828886,0.027070951650058336,0.09363604077641895,-143.0,-77.880859375,0.0
616,10,52,auto,0.39999999984,-86.4699712655884,0.7722219212991976,0.9171252478099259,0.842002685176584,0.06160391538359122,0.06160391538359122,0.06160391538359122,0.34178272613551625,0.5912001653786164,-112.0,-49.548828125,0.0
617,10,52,max,23.0,-58.77298623044674,0.5247795610574535,0.9737973532189885,0.5389001719122978,0.0008436868502349628,0.0008436868502349628,0.0008436868502349628,0.0118953835932076,0.1477019218135647,-112.0,-49.548828125,0.0
618,10,53,auto,1.24999999921875,-103.45258940844154,0.6465677793317092,0.8565467807888231,0.754854018289886,0.022136759597673167,0.022136759597673167,0.022136759597673167,0.22455812145801615,0.564859748211437,-160.0,-30.0478515625,0.0
619,10,53,max,45.0,-81.1254213502392,0.5070484347773525,0.9298754273399912,0.5452864113506248,0.0017251590209359886,0.0017251590209359886,0.0017251590209359886,0.029785833655927938,0.3930490599953779,-160.0,-30.0478515625,0.0
620,10,54,auto,0.2091836734587151,-158.66822857796615,0.6321536038971995,0.730149266485241,0.8657868095111997,0.10465868015524998,0.10465868015524998,0.10465868015524998,0.4714395969627347,0.551345124059664,-251.0,-45.203125,0.0
621,10,54,max,56.0,-122.73320195549012,0.48896873277507863,0.929970140319315,0.5257897125677455,0.002281969814432047,0.002281969814432047,0.002281969814432047,0.020643259168458286,0.37673107016561896,-251.0,-45.203125,0.0
622,10,55,auto,1.3333333318518517,-70.95740363458623,0.5500938519349355,0.9060953462954254,0.6071037161640842,0.0030737312780803553,0.0030737312780803553,0.005142515184694173,0.044232157279249854,0.43783878594697945,-129.0,-25.7509765625,0.0
623,10,55,max,38.0,-60.162052819502485,0.46636043616225314,0.9100414437243958,0.5124606570154068,0.0013067272855077324,0.0013067272855077324,0.0023699527057371873,0.019712050821625537,0.3332823411916591,-129.0,-25.7509765625,0.0
624,10,56,auto,0.239999999904,-108.29641227579859,0.6224082538882062,0.7716747213697738,0.8065681519065316,0.06716838015746143,0.06716838015746143,0.06716838015746143,0.13719641409514904,0.5512451137581473,-174.0,-27.5869140625,0.0
625,10,56,max,49.0,-79.6551969402025,0.45778292087404665,0.9298396989042581,0.49232456025862015,0.001903712997506568,0.001903712997506568,0.001903712997506568,0.007126304220603181,0.355625882374538,-174.0,-27.5869140625,0.0
626,10,57,auto,0.1367187499946594,-109.3438423373665,0.4537096475347,0.7608654897086222,0.5963073022387317,0.029497815422307543,0.029497815422307543,0.029497815422307543,0.029497815422307543,0.4273849895449067,-241.0,-11.0791015625,0.0
627,10,57,max,73.0,-98.92177579247573,0.41046521816545906,0.8939331783416764,0.4591676739495313,0.005194480825350004,0.005194480825350004,0.005194480825350004,0.005194480825350004,0.3820560672254603,-241.0,-11.0791015625,0.0
628,10,58,auto,0.5555555549382716,-117.25255869173229,0.8085273751276731,0.9290286768600151,0.870293237729088,0.047374106626419284,0.047374106626419284,0.047374106626419284,0.4606616972178944,0.6707069524642916,-145.0,-60.736328125,0.0
629,10,58,max,32.0,-72.79679770410061,0.5020707960988698,0.9730436468030251,0.5159797278862506,0.0007279161025184323,0.0007279161025184323,0.0007279161025184323,0.013891001191466081,0.14312774782698268,-145.0,-60.736328125,0.0
630,10,59,auto,0.249999999375,-100.99138707224303,0.7593481756312337,0.899839603763041,0.8438705881089409,0.04235454524391354,0.04235454524391354,0.04235454524391354,0.33673017091531354,0.6504514323707927,-133.0,-41.4287109375,0.0
631,10,59,max,30.0,-64.18847205218256,0.48259742633929104,0.9293569872680695,0.5192810006819131,0.0007566328924275367,0.0007566328924275367,0.0007566328924275367,0.010565001027829608,0.24854691189449543,-133.0,-41.4287109375,0.0
632,10,60,auto,2.1944444438348767,-110.69736548806827,0.4209008012796239,0.8399364446362945,0.5011102970557261,0.05144278234407223,0.05144278234407223,0.05144278234407223,0.05144278234407223,0.4108104007184837,-263.0,-4.5048828125,0.0
633,10,60,max,93.0,-92.3023871220962,0.3509585185752538,0.8950062733375824,0.3921296744284134,0.019142498085571974,0.019142498085571974,0.019142498085571974,0.019142498085571974,0.3396485986461094,-263.0,-4.5048828125,0.0
634,10,61,auto,0.18749999997070316,-98.6962463692662,0.6326376152717492,0.7899148261462089,0.8008934562707543,0.057949990275399016,0.057949990275399016,0.1094040699934064,0.2669661221426432,0.504905934662453,-156.0,-40.2568359375,0.0
635,10,61,max,41.0,-68.64520656303687,0.44003429577748926,0.9252450907847504,0.4755867392976626,0.001870037319355639,0.001870037319355639,0.003720843486570157,0.014297090912329839,0.2452703868559137,-156.0,-40.2568359375,0.0
636,10,62,auto,11.999999880000003,-38.68911080749238,0.33937882835884375,0.8846177890645048,0.3836445892838549,0.0163339479277071,0.0163339479277071,0.0163339479277071,0.023160672947382673,0.32692404575890416,-114.0,-2.109375,0.0
637,10,62,max,54.0,-38.77073387917387,0.34008803959341455,0.8958845052119552,0.37961147627277464,0.01610483600838682,0.01610483600838682,0.01610483600838682,0.02242367656463992,0.3276535355770322,-114.0,-2.109375,0.0
638,10,63,auto,0.269999999973,-190.19580022668347,0.7177092593289641,0.8065640159715406,0.8898354564757676,0.20883588537294126,0.20883588537294126,0.20883588537294126,0.37005010858990856,0.6386100049638319,-265.0,-58.009765625,0.0
639,10,63,max,56.0,-150.59726744307687,0.5683452598845199,0.8664207430170727,0.6559691287000047,0.002546946801306067,0.002546946801306067,0.002546946801306067,0.03558529890907913,0.44730371989597334,-265.0,-58.009765625,0.0
640,10,64,auto,1.0624999993359374,-126.97293219053905,0.725649988831742,0.8881209580060698,0.8170621155714046,0.01830887808392527,0.01830887808392527,0.04414891387837583,0.2847558005918539,0.5468685336543908,-175.0,-69.0107421875,0.0
641,10,64,max,36.0,-87.93587227621477,0.5024821135106847,0.9584046518703001,0.5242901445961315,0.0007121316740620103,0.0007121316740620103,0.0015231787190383241,0.012319289918369433,0.17855705832183688,-175.0,-69.0107421875,0.0
642,10,65,auto,0.019999999998,-74.23175883771661,0.976961201238573,0.989834742363225,0.9869942520971566,0.7042435046981073,0.7042435046981073,0.7042435046981073,0.9560473531549307,0.9564970700548222,-76.0,-35.353515625,0.0
643,10,65,max,19.0,-44.731060302035225,0.588543911750974,0.9618890392338374,0.6118625826319429,0.0034803072273569802,0.0034803072273569802,0.0034803072273569802,0.041936555573903994,0.2307098589516138,-76.0,-35.353515625,0.0
644,10,66,auto,0.0697190426631663,-252.1919986001274,0.8490876240938767,0.9354572080853577,0.9076712614484446,0.02089468176570089,0.02089468176570089,0.02089468176570089,0.6465743459792919,0.828915237895867,-297.0,-35.0947265625,0.0
645,10,66,max,67.0,-127.75399564252572,0.4301508690785414,0.9316564322250367,0.46170546802454826,0.00222831404140144,0.00222831404140144,0.00222831404140144,0.006838209596250036,0.3537892454927508,-297.0,-35.0947265625,0.0
646,10,67,auto,0.24999999984375,-88.54922164369427,0.9035774896342612,0.9409823746651541,0.9602491119515354,0.5888836269281007,0.5888836269281007,0.5888836269281007,0.7706026178015954,0.8094961213217112,-98.0,-48.390625,0.0
647,10,67,max,19.0,-53.38118302629853,0.5447480046574671,0.9904088307861111,0.5500233718888468,0.0005380214788038047,0.0005380214788038047,0.0005380214788038047,0.0041523359927260525,0.10059707517578138,-98.0,-48.390625,0.0
648,10,68,auto,0.439999999824,-141.5953231613116,0.868556774471298,0.937738024745525,0.926225397233944,0.4877285882158293,0.4877285882158293,0.4877285882158293,0.7320202305086718,0.7711757432342915,-163.0,-69.4580078125,0.0
649,10,68,max,31.0,-76.8467916634295,0.47146777209973584,0.9811223499307133,0.48053922340371796,0.0010328099501068007,0.0010328099501068007,0.0010328099501068007,0.006914674531428211,0.07898895114526823,-163.0,-69.4580078125,0.0
650,10,69,auto,0.6666666659259258,-91.92468406383458,0.6708953732582782,0.8615763948074533,0.7786835587669636,0.02389485516696345,0.02389485516696345,0.02389485516696345,0.19032775523134887,0.5066469621129845,-137.0,-45.634765625,0.0
